# id	pattern hex	text hex	start	end	anchor	encoding	longest	groups
sparse_multi_capture	285b612d7a5d2b292d285b302d395d2b29	2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e6162632d3132332e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e	0	87	unanchored	utf8	false	3
ambiguous_multi_capture	2828617c6161292b2928613f29	2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e6161612e2e2e2e2e2e2e2e2e2e	0	83	unanchored	utf8	false	4
ambiguous_multi_capture_longest	2828617c6161292b2928613f29	2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e6161612e2e2e2e2e2e2e2e2e2e	0	83	unanchored	utf8	true	4
optional_multi_capture_absent	285b612d7a5d2b29282d285b302d395d2b29293f	2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e6162632e2e2e2e2e2e2e2e2e2e	0	83	unanchored	utf8	false	4
anchor_end_multi_capture	285b612d7a5d2b292d285b302d395d2b2924	2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e6162632d313233	0	79	unanchored	utf8	false	3
windowed_multi_capture	285b612d7a5d2b292d285b302d395d2b29	2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e6162632d3132332e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e2e	20	70	unanchored	utf8	false	3
required_prefix_capture	5e616263646566282e2a2924	61626364656678797a	0	9	unanchored	utf8	false	2
required_prefix_capture_both	5e616263646566282e2a2924	61626364656678797a	0	9	both	utf8	false	2
required_prefix_folded	283f69295e616263646566282e2a2924	41424344454678797a	0	9	unanchored	utf8	false	2
required_prefix_only	5e616263646566	6162636465667a7a7a	0	9	unanchored	utf8	false	1
required_prefix_end_no_match	5e61626364656624	6162636465667a7a7a	0	9	unanchored	utf8	false	1
required_prefix_mismatch	5e616263646566282e2a2924	61626364656778797a	0	9	unanchored	utf8	false	2
required_prefix_middle_window	5e616263646566282e2a2924	7861626364656678797a	1	10	unanchored	utf8	false	2
